structure,hemisphere,region_id,region_type,n_subjects,spearman_r,spearman_p,abs_spearman_r
Paracentral_Lobule_L,lh,Paracentral_Lobule_L_lh,cortical,1060,-0.1478972509856934,1.3239605876900886e-06,0.1478972509856934
Precuneus_L,lh,Precuneus_L_lh,cortical,1060,-0.14589602567142154,1.842530268616359e-06,0.14589602567142154
Precuneus_R,rh,Precuneus_R_rh,cortical,1060,-0.1366275208881558,8.045487422700788e-06,0.1366275208881558
Postcentral_R,rh,Postcentral_R_rh,cortical,1060,-0.13524367405824747,9.946465450440139e-06,0.13524367405824747
Parietal_Sup_L,lh,Parietal_Sup_L_lh,cortical,1060,-0.1348425811318489,1.0573054643576106e-05,0.1348425811318489
Frontal_Sup_L,lh,Frontal_Sup_L_lh,cortical,1060,-0.134432817608408,1.1251960014601417e-05,0.134432817608408
Postcentral_L,lh,Postcentral_L_lh,cortical,1060,-0.13094507745647233,1.8971887558735636e-05,0.13094507745647233
Cuneus_R,rh,Cuneus_R_rh,cortical,1060,-0.13011457893267567,2.1443811566998532e-05,0.13011457893267567
Calcarine_R,rh,Calcarine_R_rh,cortical,1060,-0.12975541461803694,2.2605102305688248e-05,0.12975541461803694
Frontal_Sup_Orb_R,rh,Frontal_Sup_Orb_R_rh,cortical,1060,-0.12858397857785878,2.6822260102096106e-05,0.12858397857785878
Cingulum_Ant_L,lh,Cingulum_Ant_L_lh,cortical,1060,-0.12706918594359126,3.339006202426511e-05,0.12706918594359126
Frontal_Inf_Oper_R,rh,Frontal_Inf_Oper_R_rh,cortical,1060,-0.1266707932150346,3.535560480543605e-05,0.1266707932150346
Cingulum_Mid_R,rh,Cingulum_Mid_R_rh,cortical,1060,-0.12664182600054572,3.5502718563958315e-05,0.12664182600054572
Calcarine_L,lh,Calcarine_L_lh,cortical,1060,-0.1237393380414544,5.357877600283148e-05,0.1237393380414544
Frontal_Mid_L,lh,Frontal_Mid_L_lh,cortical,1060,-0.12302852569182407,5.917965568147487e-05,0.12302852569182407
Frontal_Sup_Orb_L,lh,Frontal_Sup_Orb_L_lh,cortical,1060,-0.12265180995741957,6.236811433551683e-05,0.12265180995741957
Frontal_Sup_Medial_L,lh,Frontal_Sup_Medial_L_lh,cortical,1060,-0.12191068594795053,6.912071359598981e-05,0.12191068594795053
Frontal_Sup_Medial_R,rh,Frontal_Sup_Medial_R_rh,cortical,1060,-0.12158977274135682,7.22540101929327e-05,0.12158977274135682
Precentral_R,rh,Precentral_R_rh,cortical,1060,-0.12000882538183495,8.974796847450351e-05,0.12000882538183495
Lingual_L,lh,Lingual_L_lh,cortical,1060,-0.11990781877464023,9.099169975880168e-05,0.11990781877464023
